번호,등록번호,서명(자료명),저자,출판사,출판년도,청구기호,입수유형,자료형태,,,가격,,,도서상태,등록일
1,171,세익스피어 5대 희극,셰익스피어,한국어린이교육연구원,1999,843.8 셰68ㅅ,구입,단행본,,,￦,"6,000",,대출가능,2013-11-20
2,175,세익스피어 4대 비극,셰익스피어,한국어린이교육연구원,1999,843.8 셰68ㅅ,구입,단행본,,,￦,"6,000",,대출가능,2013-11-20
3,194,문제아에서 천재가 된 딥스,액슬린,한국어린이교육연구원,1998,843.8 액57ㅁ,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
4,306,달이네 추석맞이,선자은 글;차정인 그림,푸른숲,2013,380.911 우298ㅍ v.4 c.2,기증,단행본,,,￦,"11,000",,대출가능,2015-08-25
5,406,유기,대원사,대원사,1997,380 빛12 v.2,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
6,407,소반,대원사,대원사,1997,380 빛12 v.3,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
7,411,복식,대원사,대원사,1997,380 빛12 v.7,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
8,412,팔도굿,대원사,대원사,1996,380 빛12 v.8,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
9,413,제주성읍마을,대원사,대원사,1997,380 빛12 v.9,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
10,414,조상 제례,대원사,대원사,1996,380 빛12 v.10,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
11,417,전통 부채,금복현,대원사,1997,380 빛12 v.13,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
12,419,솟대,이필영,대원사,1996,380 빛12 v.15,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
13,420,전통 상례,임재해,대원사,1996,380 빛12 v.16,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
14,421,농기구,김종섭,대원사,1997,380 빛12 v.17,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
15,423,장승과 벅수,대원사,대원사,1996,380 빛12 v.19,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
16,432,안압지,고경희,대원사,1996,911.85 빛12 v.28,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
17,440,옛책,안춘근,대원사,1997,010.91 안766ㅇ,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
18,441,고분,김기웅,대원사,1997,911.85 빛12 v.37,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
19,442,서양 고지도와 한국,서정철,대원사,1996,911.85 빛12 v.38,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
20,444,불상,진홍섭,대원사,1997,220 빛12 v.40,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
21,446,범종,이호관,대원사,1997,220 빛12 v.42,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
22,447,석불,진홍섭,대원사,1997,220 빛12 v.43,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
23,448,옛절터,윤덕향,대원사,1997,911.85 빛12 v.44,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
24,449,경주남산.하나,윤경렬,대원사,1996,911.85 빛12 v.45,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
25,450,경주남산.둘,윤경렬,대원사,1996,911.85 빛12 v.46,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
26,451,석탑,정영호,대원사,1997,220 빛12 v.47,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
27,452,사리구,김희경,대원사,1996,220 빛12 v.48,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
28,453,요사채,이응묵,대원사,1994,220 빛12 v.49,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
29,454,불화,홍윤식,대원사,1996,220 빛12 v.50,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
30,455,괘불,윤열수,대원사,1995,220 빛12 v.51,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
31,456,신장상,김정희,대원사,1996,220 빛12 v.52,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
32,457,보살상,박도화,대원사,1996,220 빛12 v.53,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
33,458,사경,박상국,대원사,1996,220 빛12ㄷ v.54,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
34,460,부도,정영호,대원사,1996,220 빛12 v.56,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
35,461,불화 그리기,박정자,대원사,1997,220 빛12 v.57,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
36,462,고승진영,김형우,대원사,1996,220 빛12 v.58,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
37,463,미륵불,김삼룡,대원사,1996,220 빛12ㄷ v.59,구입,단행본,,,￦,"3,500",,대출가능,2013-11-20
